Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock
06-10-2008,35.1281346,35.1281346,13.87561334,14.73186111,23501600,0,0,20MICRONS.NS
07-10-2008,14.05125201,16.68586177,12.22898044,13.19500351,9113400,0,0,20MICRONS.NS
08-10-2008,12.29484673,12.82176907,11.02145206,11.63619423,2464384,0,0,20MICRONS.NS
10-10-2008,10.93362884,10.93362884,9.506548747,10.18715668,1207928,0,0,20MICRONS.NS
13-10-2008,10.67016778,11.68010189,10.23106621,10.82385349,898692,0,0,20MICRONS.NS
14-10-2008,11.26295773,11.41664348,9.440685956,9.726101875,673088,0,0,20MICRONS.NS
15-10-2008,9.352864789,11.2190468,8.803987727,10.69212532,1126836,0,0,20MICRONS.NS
16-10-2008,9.682191467,12.84372382,9.484596218,11.63619423,1944000,0,0,20MICRONS.NS
17-10-2008,12.31680007,12.6022168,9.638280869,9.638280869,1806200,0,0,20MICRONS.NS
20-10-2008,9.879786064,10.20911227,8.650301911,9.550459862,722818,0,0,20MICRONS.NS
21-10-2008,10.01151643,10.07738234,9.26504419,9.528505325,177410,0,0,20MICRONS.NS
22-10-2008,9.594371098,9.748056841,8.782032888,8.913763046,328698,0,0,20MICRONS.NS
23-10-2008,8.035561161,8.891809852,7.157357719,8.342932701,108936,0,0,20MICRONS.NS
24-10-2008,7.57450301,8.738122145,7.047580726,7.245176792,122200,0,0,20MICRONS.NS
27-10-2008,6.696299793,7.442772892,5.927871948,6.410883904,141400,0,0,20MICRONS.NS
29-10-2008,8.38684193,8.38684193,7.025626607,7.289087772,120276,0,0,20MICRONS.NS
31-10-2008,7.552547723,8.167289785,7.332996927,7.574502468,141526,0,0,20MICRONS.NS
03-11-2008,7.816008009,7.903828662,7.354951672,7.574502468,109362,0,0,20MICRONS.NS
04-11-2008,7.464727448,8.562481485,7.245176641,7.969694138,227414,0,0,20MICRONS.NS
05-11-2008,8.035558942,8.540526452,6.54261367,7.947739124,233216,0,0,20MICRONS.NS
06-11-2008,7.530593465,8.255111052,7.508638716,7.903830051,81298,0,0,20MICRONS.NS
07-11-2008,7.728189692,9.484596402,7.728189692,9.08940506,490888,0,0,20MICRONS.NS
10-11-2008,9.308954589,9.81392128,8.628346582,8.738121986,304862,0,0,20MICRONS.NS
11-11-2008,8.803988229,8.803988229,8.013605551,8.079470634,71050,0,0,20MICRONS.NS
12-11-2008,8.079469588,8.27706565,7.706233045,8.101425171,137950,0,0,20MICRONS.NS
14-11-2008,8.342932127,8.4307528,7.969695522,8.035560608,48202,0,0,20MICRONS.NS
17-11-2008,7.991649613,8.101425016,7.596457496,7.794053555,26806,0,0,20MICRONS.NS
18-11-2008,7.77209852,7.903828662,7.332996927,7.574502468,26082,0,0,20MICRONS.NS
19-11-2008,7.530593134,7.750143959,7.245177229,7.311042309,33194,0,0,20MICRONS.NS
20-11-2008,7.025626315,7.464727959,7.025626315,7.135401726,19600,0,0,20MICRONS.NS
21-11-2008,6.93780609,7.179312079,6.718255267,7.003671169,21100,0,0,20MICRONS.NS
24-11-2008,6.915850829,7.706233445,6.915850829,7.267131805,34138,0,0,20MICRONS.NS
25-11-2008,7.376907008,8.738122221,7.135401448,7.486682415,252226,0,0,20MICRONS.NS
26-11-2008,7.574503425,7.750143917,7.267131937,7.376907349,22260,0,0,20MICRONS.NS
27-11-2008,7.376907349,7.376907349,7.376907349,7.376907349,0,0,0,20MICRONS.NS
28-11-2008,7.135402023,7.61841402,7.135402023,7.289087772,7086,0,0,20MICRONS.NS
01-12-2008,6.608479201,7.530592315,6.608479201,7.157355785,30842,0,0,20MICRONS.NS
02-12-2008,7.157356357,7.157356357,6.630434895,6.893895626,27134,0,0,20MICRONS.NS
03-12-2008,7.025626009,7.223222076,6.893895438,6.981715679,12046,0,0,20MICRONS.NS
04-12-2008,6.476749278,7.464727981,6.476749278,7.003671169,18264,0,0,20MICRONS.NS
05-12-2008,7.289086708,7.684277979,6.871939854,7.113446236,40104,0,0,20MICRONS.NS
08-12-2008,7.903829793,7.903829793,7.025626482,7.179312229,23222,0,0,20MICRONS.NS
10-12-2008,7.2451776,7.881875361,7.047581513,7.640368938,68424,0,0,20MICRONS.NS
11-12-2008,7.354952363,8.255110377,7.245176955,8.057515144,114544,0,0,20MICRONS.NS
12-12-2008,7.574503425,8.101425738,7.047581113,7.376907349,74766,0,0,20MICRONS.NS
15-12-2008,7.750143559,7.750143559,7.354952262,7.486682415,37698,0,0,20MICRONS.NS
16-12-2008,7.662323533,7.903829087,7.486682217,7.706233025,31000,0,0,20MICRONS.NS
17-12-2008,7.881875095,8.123380672,7.332998023,7.420817852,52140,0,0,20MICRONS.NS
18-12-2008,7.245177229,7.464728054,7.135401816,7.311042309,21636,0,0,20MICRONS.NS
19-12-2008,7.44277339,7.662324217,7.135401896,7.179312229,75652,0,0,20MICRONS.NS
22-12-2008,7.420817547,7.552548541,7.17931198,7.267131805,26384,0,0,20MICRONS.NS
23-12-2008,7.135401726,7.267131884,7.025626315,7.135401726,22350,0,0,20MICRONS.NS
24-12-2008,7.179311923,7.179311923,6.806075364,7.025626183,34636,0,0,20MICRONS.NS
26-12-2008,7.157356516,7.245177181,6.806075533,6.871940613,10050,0,0,20MICRONS.NS
29-12-2008,6.806075382,7.157356357,6.630434895,6.893895626,28012,0,0,20MICRONS.NS
30-12-2008,7.025626261,7.157356418,6.542614288,6.69630003,107000,0,0,20MICRONS.NS
31-12-2008,6.959761277,7.025626357,6.630435042,6.871940613,32658,0,0,20MICRONS.NS
02-01-2009,7.596457962,8.650302558,7.596457962,7.991650105,241044,0,0,20MICRONS.NS
05-01-2009,8.299020035,8.562481162,7.903828765,8.013604164,73986,0,0,20MICRONS.NS
06-01-2009,7.772099624,8.035559947,7.706233706,7.881875038,33086,0,0,20MICRONS.NS
07-01-2009,7.684278637,7.837964377,6.652389624,7.025626183,58126,0,0,20MICRONS.NS
09-01-2009,6.630435143,6.784120471,5.796141749,6.608479977,71160,0,0,20MICRONS.NS
12-01-2009,6.586523531,6.959760032,6.323062422,6.454792976,25708,0,0,20MICRONS.NS
13-01-2009,6.388928738,6.608479551,6.235243002,6.410883904,16718,0,0,20MICRONS.NS
14-01-2009,6.25719857,6.806075637,6.25719857,6.608479977,15904,0,0,20MICRONS.NS
15-01-2009,6.476748769,6.586524171,6.14742256,6.43283844,11726,0,0,20MICRONS.NS
16-01-2009,6.498704145,6.586524386,6.301108497,6.410883904,19440,0,0,20MICRONS.NS
19-01-2009,6.3669734,6.542613878,6.279153161,6.3669734,7536,0,0,20MICRONS.NS
20-01-2009,6.586524043,6.586524043,6.235242677,6.52065897,18918,0,0,20MICRONS.NS
21-01-2009,6.366973366,6.564569007,6.279153127,6.43283844,20000,0,0,20MICRONS.NS
22-01-2009,6.893895935,6.893895935,6.213288283,6.345018864,18506,0,0,20MICRONS.NS
23-01-2009,6.345019061,6.345019061,6.037647975,6.257198811,40752,0,0,20MICRONS.NS
27-01-2009,6.169377587,6.323062897,6.147422424,6.323062897,10400,0,0,20MICRONS.NS
28-01-2009,6.213287679,6.49870398,6.08155753,6.235242844,19490,0,0,20MICRONS.NS
29-01-2009,6.366973573,6.586524386,6.147422761,6.410883904,14600,0,0,20MICRONS.NS
30-01-2009,6.213287513,6.893895081,6.191332768,6.52065897,103630,0,0,20MICRONS.NS
02-02-2009,6.806074844,6.806074844,6.366973241,6.52065897,24576,0,0,20MICRONS.NS
03-02-2009,6.696299755,7.223222038,6.454793779,7.047580719,41320,0,0,20MICRONS.NS
04-02-2009,7.069535923,7.398862122,6.696299395,6.849985123,34098,0,0,20MICRONS.NS
05-02-2009,7.025626009,7.091491086,6.828030361,6.981715679,8178,0,0,20MICRONS.NS
06-02-2009,6.806075382,7.223222273,6.806075382,6.893895626,38064,0,0,20MICRONS.NS
09-02-2009,6.849985911,7.376907389,6.849985911,7.311042309,24126,0,0,20MICRONS.NS
10-02-2009,7.354951529,8.101424556,7.311041203,7.464726925,87666,0,0,20MICRONS.NS
11-02-2009,7.772098809,7.881874211,7.135401141,7.794053555,44522,0,0,20MICRONS.NS
12-02-2009,7.903828957,8.101425016,7.618413079,7.794053555,35064,0,0,20MICRONS.NS
13-02-2009,8.782033455,8.782033455,7.376907767,7.640368938,17236,0,0,20MICRONS.NS
16-02-2009,7.376906936,7.903829219,6.806075161,7.047580719,31964,0,0,20MICRONS.NS
17-02-2009,6.893895663,7.3988628,6.893895663,7.267131805,20574,0,0,20MICRONS.NS
18-02-2009,7.332998023,7.662324266,7.025626527,7.420817852,35852,0,0,20MICRONS.NS
19-02-2009,7.61841402,7.794054517,7.245177439,7.289087772,35936,0,0,20MICRONS.NS
20-02-2009,7.618413332,7.618413332,6.959760897,7.047580719,5444,0,0,20MICRONS.NS
